1 1000
1 2000
1 3000
1 4000
1 5000
1 6000
1 7000
1 8000
1 9000
7
1 10000
1 11000
1 12000
1 13000
1 14000
1 15000
1 1500
1 2500
1 3500
1 4500
1 5500
1 6500
1 7500
1 8500
1 9500
1 10500
1 11500
1 12500
1 13500
1 14500
7
1 15500
7
8
3 1000
3 7500
3 14500
4 10
4 20
4 29
2 2500
2 3000
2 3500
2 4000
2 4500
2 5000
2 5500
2 6000
2 6500
2 7000
7
8
5
6
7
8
1 16000
1 16500
1 17000
1 17500
1 18000
1 18500
1 19000
1 19500
1 20000
1 20500
1 21000
1 21500
1 22000
1 22500
1 23000
1 23500
1 24000
1 24500
1 25000
1 25500
7
1 26000
1 27000
1 27500
1 28000
1 28500
1 29000
1 29500
1 30000
7
5
7
3 10000
3 20000
3 29000
4 15
4 28
2 1000
2 1500
2 2000
2 7500
2 8000
2 8500
2 9000
2 9500
2 10000
2 10500
2 11000
2 11500
2 12000
2 12500
2 13000
2 13500
2 14000
2 14500
2 15000
3 20000
3 29000
4 15
4 28
5
6
7
3 20000
3 29000
4 15
4 28
5
0
